x,y,z,sx,sy,sz
755505.69,3279279.42,33.00,0.0061,0.0060,0.0146
755508.24,3279281.16,33.18,0.0087,0.0076,0.0178
755506.87,3279280.46,33.05,0.0080,0.0076,0.0181
755497.93,3279275.24,32.70,0.0057,0.0050,0.0129
755500.79,3279277.03,32.79,0.0053,0.0052,0.0131
755498.15,3279275.48,32.66,0.0058,0.0052,0.0142
755508.04,3279281.79,33.20,0.0097,0.0087,0.0196
755495.79,3279274.80,32.54,0.0173,0.0120,0.0337
755506.04,3279281.07,33.04,0.0064,0.0066,0.0154
755501.75,3279278.49,32.82,0.0076,0.0083,0.0279
755506.86,3279282.18,33.13,0.0080,0.0078,0.0179
755496.60,3279277.03,32.74,0.0089,0.0053,0.0174
755500.39,3279279.31,32.81,0.0071,0.0094,0.0238
755498.40,3279278.31,32.69,0.0078,0.0081,0.0231
755499.68,3279279.53,32.76,0.0055,0.0062,0.0138
755505.47,3279275.17,32.93,0.0062,0.0060,0.0167
755505.82,3279275.76,32.90,0.0054,0.0053,0.0131
755503.83,3279273.56,32.92,0.0065,0.0068,0.0190
755506.68,3279276.01,33.02,0.0071,0.0065,0.0177
755506.45,3279275.09,33.00,0.0053,0.0052,0.0124
755504.15,3279273.29,32.93,0.0082,0.0095,0.0280
755504.79,3279274.53,32.92,0.0070,0.0068,0.0196
755505.59,3279274.91,32.99,0.0079,0.0071,0.0208
755498.99,3279271.46,32.64,0.0066,0.0078,0.0176
755499.62,3279272.25,32.65,0.0068,0.0066,0.0162
755499.44,3279270.79,32.57,0.0079,0.0148,0.0259
755504.24,3279273.40,32.92,0.0052,0.0052,0.0122
755500.96,3279272.92,32.69,0.0056,0.0067,0.0154
755504.30,3279273.26,32.89,0.0051,0.0052,0.0123
755501.77,3279280.63,33.01,0.0064,0.0080,0.0176
755507.41,3279275.75,33.06,0.0084,0.0066,0.0194
755507.52,3279275.94,33.05,0.0057,0.0054,0.0131
755503.91,3279274.40,32.95,0.0103,0.0053,0.0291
755499.05,3279271.07,32.63,0.0060,0.0077,0.0161
755509.05,3279276.08,33.02,0.0099,0.0058,0.0186
755499.39,3279271.81,32.64,0.0060,0.0067,0.0156
755499.61,3279271.64,32.64,0.0054,0.0061,0.0141
755500.80,3279276.64,32.78,0.0067,0.0067,0.0202
755507.26,3279274.94,32.95,0.0068,0.0062,0.0159
755498.84,3279271.09,32.63,0.0062,0.0082,0.0174
