DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.975561, -0.71375, -0.294841, 0.211107, -0.31779, 0.463778, -0.0222981, 0.0261331, -0.234847, -0.0697599, 1, -0.0597563, -0.272839, -0.00789229
-0.116515, 0.0852597, 0.0404475, -0.0714731, 0.0386977, -0.0534583, 0.0581298, 0.0193687, 0.194123, -0.713588, -0.0597563, 1, -0.230318, 0.316458
-0.228452, 0.163083, 0.0502198, 0.0199138, 0.0809997, -0.124693, -0.0144926, 0.00260137, 0.773516, 0.641322, -0.272839, -0.230318, 1, -0.0769468
-0.0263276, 0.0471696, 0.0079751, -0.0112565, 0.00259113, -0.00780143, -0.00951803, 0.048467, 0.230044, -0.333905, -0.00789229, 0.316458, -0.0769468, 1
DJI_0009.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.277945, 0.00461172, 0.976774, -0.164036, -0.251357, -0.0310437
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.0716619, -0.0840296, -0.714893, 0.120398, 0.179589, 0.0523388
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0335443, 0.158055, -0.2955, 0.0539572, 0.0565766, 0.00439726
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, -0.0120265, 0.0532993, 0.212034, -0.0784444, 0.0146237, -0.013047
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.092783, 0.000754583, -0.318322, 0.0578668, 0.0895305, 0.00478801
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.141531, -0.00491764, 0.464498, -0.0796619, -0.136491, -0.0103971
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0123329, 0.0122525, -0.0226306, 0.0594316, -0.0129248, -0.006201
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.020592, -0.0445267, 0.0258319, 0.0115207, 0.000938642, 0.0352951
-0.277945, 0.0716619, -0.0335443, -0.0120265, 0.092783, -0.141531, 0.0123329, -0.020592, 1, 0.270887, -0.303972, 0.170372, 0.786297, 0.239975
0.00461172, -0.0840296, 0.158055, 0.0532993, 0.000754583, -0.00491764, 0.0122525, -0.0445267, 0.270887, 1, -0.0342289, -0.727297, 0.633775, -0.355351
0.976774, -0.714893, -0.2955, 0.212034, -0.318322, 0.464498, -0.0226306, 0.0258319, -0.303972, -0.0342289, 1, -0.115686, -0.293092, -0.021367
-0.164036, 0.120398, 0.0539572, -0.0784444, 0.0578668, -0.0796619, 0.0594316, 0.0115207, 0.170372, -0.727297, -0.115686, 1, -0.239005, 0.330056
-0.251357, 0.179589, 0.0565766, 0.0146237, 0.0895305, -0.136491, -0.0129248, 0.000938642, 0.786297, 0.633775, -0.293092, -0.239005, 1, -0.0616665
-0.0310437, 0.0523388, 0.00439726, -0.013047, 0.00478801, -0.0103971, -0.006201, 0.0352951, 0.239975, -0.355351, -0.021367, 0.330056, -0.0616665, 1
DJI_0010.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.264785, -0.0213049, 0.976913, -0.139793, -0.250354, -0.0265205
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.0620926, -0.0636667, -0.714927, 0.103065, 0.178908, 0.0483262
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0369792, 0.161094, -0.295138, 0.0454755, 0.0562759, 0.00167702
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, -0.00863393, 0.0451242, 0.212676, -0.0696447, 0.0141392, -0.0106561
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.0911688, 0.00731065, -0.318546, 0.0542614, 0.0903439, 0.00328999
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.137737, -0.0150982, 0.46479, -0.0725154, -0.136901, -0.0082848
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0126952, 0.0138227, -0.0229385, 0.0554257, -0.0127352, -0.00529211
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0248342, -0.0406308, 0.0255582, 0.00517831, 0.000216094, 0.0216395
-0.264785, 0.0620926, -0.0369792, -0.00863393, 0.0911688, -0.137737, 0.0126952, -0.0248342, 1, 0.26714, -0.292911, 0.157398, 0.785489, 0.263219
